,Unnamed: 0,name,country,extension_match,wc_guess,wiki_capital_guess,wiki_bigcity_guess,merged_wiki
0,0,Washington,United States of America,,United States,United States of America,,United States of America
1,1,Moscow,Russia,,Russia,Russia,,Russia
2,2,Vienna,Austria,,Austria,Austria,,Austria
3,3,Camp David,,,,,,
4,4,Salzburg White House,"['Austria', 'Cape Verde']",,"['Austria', 'Cape Verde']",,,
5,5,Salzburg,Austria,Austria,,,,
6,6,Helsinki,Finland,,,Finland,,Finland
7,7,Cape Town,South Africa,,,South Africa,,South Africa
8,8,Pretoria,South Africa,,,South Africa,,South Africa
9,9,New York,United States of America,,United States,,United States of America,United States of America
10,10,London,United Kingdom,,,United Kingdom,,United Kingdom
11,11,Yaounde,Cameroon,,,Cameroon,,Cameroon
12,12,Oeiras,Portugal,Portugal,,,,
13,13,Kinshasa,Democratic Republic of the Congo,,Democratic Republic of the Congo,Democratic Republic of the Congo,,Democratic Republic of the Congo
14,14,Lourenco Marques,Mozambique,,,Mozambique,,Mozambique
15,15,Lisbon,Portugal,,Portugal,Portugal,,Portugal
16,16,Luanda,Angola,,Angola,Angola,,Angola
17,17,Paris,France,,,France,,France
18,18,Tehran,Iran,,,Iran,,Iran
19,19,Jidda,Saudi Arabia,,,,Saudi Arabia,Saudi Arabia
20,20,Brussels,Belgium,,,Belgium,,Belgium
21,21,Boston,United States of America,,,,United States of America,United States of America
22,22,Stockholm,Sweden,,Sweden,Sweden,,Sweden
23,23,Tanzania,,,,,,
24,24,Dar es Salaam,Tanzania,,"['Cape Verde', 'Tanzania']",,Tanzania,Tanzania
25,25,Lusaka,Zambia,,Zambia,Zambia,,Zambia
26,26,Grafenau,Germany,Germany,,,,
27,27,Zurich,Switzerland,,Switzerland,,,
28,28,Geneva,Switzerland,,Switzerland,,Switzerland,Switzerland
29,29,Bonn,Germany,,,,Germany,Germany
30,30,San Clemente,United States,United States,,,,
31,31,Warsaw,Poland,,,Poland,,Poland
32,32,Sofia,Bulgaria,,Madagascar,Bulgaria,,Bulgaria
33,33,Prague,Czech Republic,,,Czech Republic,,Czech Republic
34,34,Budapest,Hungary,,Hungary,Hungary,,Hungary
35,35,Bucharest,Romania,,,Romania,,Romania
36,36,Belgrade,Serbia,,,Serbia,,Serbia
37,37,Athens,Greece,,,Greece,,Greece
38,38,Rome,Italy,,,Italy,,Italy
39,39,Nicosia,Cyprus,,,Cyprus,,Cyprus
40,40,Ankara,Turkey,,Turkey,Turkey,,Turkey
41,41,San Clemente,,,,,,
42,42,Crimea,Ukraine,,Ukraine,,,
43,43,Soviet Union,,,,,,
44,44,Zavidovo,,,,,,
45,45,Cairo,Egypt,,,Egypt,,Egypt
46,46,Oreanda,,,,,,
47,47,Vnukovo,,,,,,
48,48,San Francisco,Ecuador,,,Ecuador,,Ecuador
49,49,Colorado Springs,United States,United States,,,,
50,50,Bangkok,Thailand,,Thailand,Thailand,,Thailand
51,51,Los Angeles,United States,United States,,,,
52,52,New Orleans,United States,United States,,,,
53,53,Chicago,United States,United States,,,,
54,54,Naples,Italy,Italy,,,,
55,55,Newmarket-on-Fergus,Ireland,Ireland,,,,
56,56,Newport,United States,United States,,,,
57,57,Bermuda,,,,,,
58,58,Mexico City,Mexico,,Mexico,,Mexico,Mexico
59,59,Annapolis,United States,United States,,,,
60,60,New Orleans,United States of America,,,,United States of America,United States of America
61,61,Bloomington,United States,United States,,,,
62,62,Honolulu,United States of America,,,,United States of America,United States of America
63,63,Baltimore,,,,,,
64,64,Taipei,Taiwan,,Taiwan,Taiwan,,Taiwan
65,65,Kabul,Afghanistan,,Afghanistan,,,
66,66,Islamabad,Pakistan,,,Pakistan,,Pakistan
67,67,Beijing,People's Republic of China,,China,People's Republic of China,,People's Republic of China
68,68,Key Biscayne,United States,United States,,,,
69,69,Shanghai,People's Republic of China,,Myanmar,,People's Republic of China,People's Republic of China
70,70,New Delhi,India,,,India,,India
71,71,Tokyo,Japan,,Japan,Japan,,Japan
72,72,Karuizawa,Japan,Japan,,,,
73,73,Oahu,United States,United States,,,,
74,74,Camp David,United States,United States,,,,
75,75,Frankfurt,Germany,,,,Germany,Germany
76,76,The Hague,Netherlands,,,Netherlands,,Netherlands
77,77,Angra,Portugal,Portugal,,,,
78,78,Kathmandu,Nepal,,,Nepal,,Nepal
79,79,Jerusalem,Germany,,Israel,,Germany,Germany
80,80,Vladivostok,,,,,,
81,81,Vail,United States,United States,,,,
82,82,Miami,,,,,,
83,83,Denver,United States of America,,,,United States of America,United States of America
84,84,Reykjavik,Iceland,,,Iceland,,Iceland
85,85,Ottawa,Canada,,,Canada,,Canada
86,86,Quebec City,Canada,,Canada,,Canada,Canada
87,87,Oslo,Norway,,Norway,Norway,,Norway
88,88,Madrid,Spain,,Spain,Spain,,Spain
89,89,Trois Ilets,Martinique,Martinique,,,,
90,90,Washington,United States of America,,United States,United States of America,,United States of America
91,91,Saigon,Republic of Vietnam,,,Republic of Vietnam,,Republic of Vietnam
92,92,Vientiane,Laos,,Laos,Laos,,Laos
93,93,Midway Island,,,,,,
94,94,Phnom Penh,Cambodia,,Cambodia,Cambodia,,Cambodia
95,95,Hartford,United States,United States,,,,
96,96,Naples,Italy,,,,Italy,Italy
97,97,Terceira,Portugal,Portugal,,,,
98,98,Salzburg,Austria,,"['Austria', 'Cape Verde']",,Austria,Austria
99,99,Damascus,Syria,,,,Syria,Syria
100,100,Bad Reichenhall,,,,,,
101,101,Dusseldorf,Germany,,,,Germany,Germany
102,102,Miesbach,Japan,,Japan,,,
103,103,Martinique,Martinique,,Martinique,,,
104,104,Conakry,Guinea,,Guinea,,,
105,105,Panama City,Panama,,,Panama,,Panama
106,106,Hong Kong,People's Republic of China,,,,People's Republic of China,People's Republic of China
107,107,Canberra,Australia,,,Australia,,Australia
108,108,Dacca,Bangladesh,,,Bangladesh,,Bangladesh
109,109,Rawalpindi,Pakistan,,,,Pakistan,Pakistan
110,110,Palm Springs,United States,United States,,,,
111,111,Karachi,Pakistan,,Togo,,Pakistan,Pakistan
112,112,Calcutta,India,,,,India,India
113,113,Lajes Air Field,Portugal,Portugal,,,,
114,114,Lajes,Portugal,Portugal,,,,
115,115,Hanoi,Vietnam,,,Vietnam,,Vietnam
116,116,Wellington,New Zealand,,New Zealand,New Zealand,,New Zealand
117,117,Algiers,Algeria,,,Algeria,,Algeria
118,118,Addis Ababa,Ethiopia,,,Ethiopia,,Ethiopia
119,119,Tripoli,Libya,,Libya,Libya,,Libya
120,120,Benghazi,Libya,,,,Libya,Libya
121,121,Rabat,Morocco,,,Morocco,,Morocco
122,122,Tunis,Tunisia,,,Tunisia,,Tunisia
123,123,Seoul,South Korea,,South Korea,South Korea,,South Korea
124,124,San Francisco,United States,United States,,,,
125,125,Abidjan,Ivory Coast,Ivory Coast,,,,
126,126,Lagos,Nigeria,,Nigeria,,Nigeria,Nigeria
127,127,Abidjan,Ivory Coast,,,Ivory Coast,,Ivory Coast
128,128,[text not declassified],,,,,,
