,name,country,name_list
0,Washington,United States of America,['Washington' 'Wasington' 'Washington' 'Washingon']
1,Moscow,Russia,['Moscow']
2,Vienna,Austria,['Vienna']
3,Camp David,United States,['Camp David' 'Camp David']
4,Salzburg White House,Austria,['Salzburg White House']
5,Salzburg,Austria,['Salzburg' 'Salzburg']
6,Helsinki,Finland,['Helsinki' 'Helsinki']
7,Cape Town,South Africa,['Cape Town']
8,Pretoria,South Africa,['Pretoria']
9,New York,United States of America,['New York' 'New York']
10,London,United Kingdom,['London']
11,Yaounde,Cameroon,['Yaounde']
12,Oeiras,Portugal,['Oeiras']
13,Kinshasa,Democratic Republic of the Congo,['Kinshasa']
14,Lourenco Marques,Mozambique,['Lourenco Marques']
15,Lisbon,Portugal,['Lisbon']
16,Luanda,Angola,['Luanda']
17,Paris,France,['Paris']
18,Tehran,Iran,['Tehran']
19,Jidda,Saudi Arabia,['Jidda']
20,Brussels,Belgium,['Brussels']
21,Boston,United States of America,['Boston']
22,Stockholm,Sweden,['Stockholm']
23,Tanzania,Tanzania,['Tanzania']
24,Dar es Salaam,Tanzania,['Dar es Salaam']
25,Lusaka,Zambia,['Lusaka']
26,Grafenau,Germany,['Grafenau']
27,Zurich,Switzerland,['Zurich']
28,Geneva,Switzerland,['Geneva']
29,Bonn,Germany,['Bonn']
30,San Clemente,United States,['san Clemente' 'San Clemente' 'San Clemente']
31,Warsaw,Poland,['Warsaw']
32,Sofia,Bulgaria,['Sofia']
33,Prague,Czech Republic,['Prague']
34,Budapest,Hungary,['Budapest']
35,Bucharest,Romania,['Bucharest']
36,Belgrade,Serbia,['Belgrade']
37,Athens,Greece,['Athens']
38,Rome,Italy,['Rome']
39,Nicosia,Cyprus,['Nicosia']
40,Ankara,Turkey,['Ankara']
42,Crimea,Ukraine,['Crimea']
43,Soviet Union,Russia,['Soviet Union']
44,Zavidovo,Russia,['Zavidovo']
45,Cairo,Egypt,['Cairo' 'Cairo']
46,Oreanda,Ukraine,['Oreanda']
47,Vnukovo,Russia,['Vnukovo']
48,San Francisco,United States,['San Francisco' 'San Francisco']
49,Colorado Springs,United States,['Colorado Springs']
50,Bangkok,Thailand,['Bangkok' 'Bankok']
51,Los Angeles,United States,['Los Angeles']
52,New Orleans,United States,['New Orleans' 'New Orleans']
53,Chicago,United States,['Chicago']
54,Naples,Italy,['Naples' 'Naples']
55,Newmarket-on-Fergus,Ireland,['Newmarket-on-Fergus']
56,Newport,United States,['Newport']
57,Bermuda,United Kingdom,['Bermuda']
58,Mexico City,Mexico,['Mexico City']
59,Annapolis,United States,['Annapolis']
61,Bloomington,United States,['Bloomington']
62,Honolulu,United States of America,['Honolulu']
63,Baltimore,United States,['Baltimore']
64,Taipei,Taiwan,['Taipei']
65,Kabul,Afghanistan,['Kabul']
66,Islamabad,Pakistan,['Islamabad']
67,Beijing,People's Republic of China,['Beijing']
68,Key Biscayne,United States,['Key Biscayne' 'Key Biscayne']
69,Shanghai,People's Republic of China,['Shanghai']
70,New Delhi,India,['New Delhi']
71,Tokyo,Japan,['Tokyo']
72,Karuizawa,Japan,['Karuizawa']
73,Oahu,United States,['Oahu']
75,Frankfurt,Germany,['Frankfurt']
76,The Hague,Netherlands,['The Hague']
77,Angra,Portugal,['Angra']
78,Kathmandu,Nepal,['Kathmandu']
79,Jerusalem,Israel,['Jerusalem']
80,Vladivostok,Russia,['Vladivostok']
81,Vail,United States,['Vail']
82,Miami,United States,['Miami']
83,Denver,United States of America,['Denver']
84,Reykjavik,Iceland,['Reykjavik']
85,Ottawa,Canada,['Ottawa']
86,Quebec City,Canada,['Quebec City']
87,Oslo,Norway,['Oslo']
88,Madrid,Spain,['Madrid']
89,Trois Ilets,Martinique,['Trois Ilets']
91,Saigon,Republic of Vietnam,['Saigon']
92,Vientiane,Laos,['Vientiane']
