,id,volume,subtype,date,year,title,source,person_sentby,person_sentto,city,era,inst_sentby,inst_sentto,person_mentioned,inst_mentioned
0,frus1969-76v30_d1,frus1969-76v30,historical-document,1973-03-30,1973,1. Memorandum From the President’s Assistant for National Security Affairs (Kissinger) to President Nixon,"Source: National Archives, Nixon Presidential Materials, NSC Files, Box 754, Presidential Correspondence File, Greece (Papadopoulos). Secret. Sent for action.",['A. Henry Kissinger'],['M. Nixon Richard'],Washington,Richard M. Nixon,[],[],"{'M. Nixon Richard', 'Col. George Lt. Papadopoulos', 'A. Henry Kissinger'}","{'t_FY1', 't_NATO1'}"
1,frus1969-76v30_d2,frus1969-76v30,historical-document,1973-04-21,1973,2. Telegram From the Embassy in Greece to the Department of State,"Source: National Archives, RG 59, Central Files 1970–73, POL 15–1 GREECE. Secret; Exdis.",['Henry Tasca'],[],Athens,Richard M. Nixon,['the Embassy in Greece'],['the Department of State'],"{'Agnew Spiro T.', 'Henry Tasca', 'Brandt Willy', 'III Makarios', 'Col. George Lt. Papadopoulos', 'Constantine Tsatsos', 'Col. George Grivas', 'Brigadier Dimitrios Gen. Ioannides'}","{'t_GOG1', 't_HMG1', 't_PM1', 't_FRG1'}"
2,frus1969-76v30_d3,frus1969-76v30,historical-document,1973-06-12,1973,3. Memorandum From Acting Secretary of State Rush to President Nixon,"Source: Ford Library, National Security Adviser, Scowcroft Daily Work Files, Chronological File A, Box 3. Secret.","['Kenneth Rush', 'Kenneth Rush']",['M. Nixon Richard'],Washington,Richard M. Nixon,[],[],"{'Henry Tasca', 'M. Nixon Richard', 'Kenneth Rush', 'Col. George Lt. Papadopoulos'}","{'t_NSSM1', 't_NATO1'}"
3,frus1969-76v30_d4,frus1969-76v30,historical-document,1973-06-26,1973,"4. Memorandum From the Chief of the Near East and South Asia Division, Central Intelligence Agency (Waller) to Director of Central Intelligence Schlesinger","[Source: Central Intelligence Agency, Executive Registry, Job 80–M01066A, Box 12, Folder 21. Secret. 2 pages not declassified.]",['Waller'],['James Schlesinger'],Washington,Richard M. Nixon,[],[],{'James Schlesinger'},set()
4,frus1969-76v30_d5,frus1969-76v30,historical-document,1973-07-19,1973,5. National Intelligence Estimate,"Source: Central Intelligence Agency, NIC Files, Job 79–R01012A. Secret; Controlled Dissem. The Central Intelligence Agency and the intelligence organizations of the Departments of State and Defense, the National Security Agency, and the Department of the Treasury participated in the preparation of this estimate. The Director of Central Intelligence submitted this estimate with the concurrence of all members of the United States Intelligence Board with the exception of the representatives of the Federal Bureau of Investigation who abstained on the grounds that it was outside his jurisdiction.",[],[],Washington,Richard M. Nixon,[],[],"{'Anghelis Gen. Lt. Odysseus', 'Brigadier Dimitrios Gen. Ioannides', 'Constantine Karamanlis', 'Col. George Lt. Papadopoulos'}","{'t_NIE1', 't_NATO1'}"
5,frus1969-76v30_d6,frus1969-76v30,historical-document,1973-08-01,1973,6. Intelligence Note Prepared in the Bureau of Intelligence and Research,"Source: National Archives, RG 59, Central Files 1970–73, POL 14 GREECE. Confidential; No Foreign Dissem. Drafted by Bernard Rotklein and cleared by David Mark and Philip Stoddard (INR/Near East and South Asia).",[],[],Washington,Richard M. Nixon,[],[],"{'Anghelis Gen. Lt. Odysseus', 'Col. George Lt. Papadopoulos'}",set()
6,frus1969-76v30_d7,frus1969-76v30,historical-document,1973-11-18,1973,7. Telegram From the Embassy in Greece to the Department of State,"Source: National Archives, Nixon Presidential Materials, NSC Files, Box 594, Country Files, Middle East, Greece, Vol. IV. Secret; Immediate; Exdis.",['Henry Tasca'],[],Athens,Richard M. Nixon,['the Embassy in Greece'],['the Department of State'],"{'Henry Tasca', 'Col. George Lt. Papadopoulos', 'Markezinis Spyro', 'Andreas Papandreou'}",{'t_PM1'}
7,frus1969-76v30_d8,frus1969-76v30,historical-document,1973-11-26,1973,8. Telegram From the Embassy in Greece to the Department of State,"Source: National Archives, Nixon Presidential Materials, NSC Files, Box 594, Country Files, Middle East, Greece, Vol. IV. Secret; Exdis.",['Henry Tasca'],[],Athens,Richard M. Nixon,['the Embassy in Greece'],['the Department of State'],"{'Adamantios Androutsopoulos', 'Henry Tasca', 'Andreas Papandreou', 'Constantine Karamanlis', 'Col. George Lt. Papadopoulos', 'Brigadier Dimitrios Gen. Ioannides', 'Ghizikis Phaidon'}",{'t_EDA1'}
8,frus1969-76v30_d9,frus1969-76v30,historical-document,1974-02-08,1974,9. Telegram From the Embassy in Greece to the Department of State,"Source: National Archives, Nixon Presidential Materials, NSC Files, Box 594, Country Files, Middle East, Greece, Vol. IV. Secret; Priority; Exdis.",['Henry Tasca'],[],Athens,Richard M. Nixon,['the Embassy in Greece'],['the Department of State'],"{'Henry Tasca', 'Constantine Karamanlis', 'Anghelis Gen. Lt. Odysseus', 'Col. George Lt. Papadopoulos', 'Brigadier Dimitrios Gen. Ioannides'}","{'t_SHAFC1', 't_HAF1', 't_JUSMAGG1', 't_NATO1', 't_ESA1'}"
9,frus1969-76v30_d10,frus1969-76v30,historical-document,1974-02-15,1974,10. Action Memorandum From the Director of the Policy Planning Staff (Lord) to Secretary of State Kissinger,"Source: Library of Congress, Manuscript Division, Kissinger Papers, Box CL 324, Policy Planning—History, Selected Papers. V. 3, European Affairs, 1973–75. Secret; Exdis. Printed from a copy that indicates Lord signed the original. Drafted by Thomas Thornton of the Policy Planning Staff.",['Lord Winston'],['A. Henry Kissinger'],Washington,Richard M. Nixon,[],[],"{'Adamantios Androutsopoulos', 'Henry Tasca', 'Andreas Papandreou', 'James Schlesinger', 'Col. George Lt. Papadopoulos', 'A. Henry Kissinger', 'Lord Winston', 'Brigadier Dimitrios Gen. Ioannides'}","{'t_POL1', 't_USSR1', 't_EUR1', 't_H1', 't_USN1', 't_INR1', 't_CIA1', 't_NATO1', 't_MAC1', 't_ASW1', 't_PM1', 't_NEA1', 't_FMS1', 't_S1', 't_FRG1', 't_P1', 't_FY1', 't_HF1'}"
10,frus1969-76v30_d11,frus1969-76v30,historical-document,1974-03-08,1974,11. Telegram From the Embassy in Greece to the Department of State,"Source: National Archives, Nixon Presidential Materials, NSC Files, Box 594, Country Files, Middle East, Greece, Vol. IV. Secret; Exdis.",['Henry Tasca'],[],Athens,Richard M. Nixon,['the Embassy in Greece'],['the Department of State'],"{'Henry Tasca', 'Brigadier Dimitrios Gen. Ioannides'}",{'t_JCS1'}
