,person_name,mentioned_in
0,A. Henry Kissinger,frus1969-76v30_d1
1,M. Nixon Richard,frus1969-76v30_d1
2,Col. George Lt. Papadopoulos,frus1969-76v30_d1
3,Col. George Lt. Papadopoulos,frus1969-76v30_d1
4,Col. George Lt. Papadopoulos,frus1969-76v30_d1
5,Constantine Tsatsos,frus1969-76v30_d2
6,Col. George Lt. Papadopoulos,frus1969-76v30_d2
7,Constantine Tsatsos,frus1969-76v30_d2
8,Brandt Willy,frus1969-76v30_d2
9,III Makarios,frus1969-76v30_d2
10,Col. George Grivas,frus1969-76v30_d2
11,Agnew Spiro T.,frus1969-76v30_d2
12,Brigadier Dimitrios Gen. Ioannides,frus1969-76v30_d2
13,Col. George Lt. Papadopoulos,frus1969-76v30_d2
14,Henry Tasca,frus1969-76v30_d2
15,Kenneth Rush,frus1969-76v30_d3
16,M. Nixon Richard,frus1969-76v30_d3
17,Col. George Lt. Papadopoulos,frus1969-76v30_d3
18,Col. George Lt. Papadopoulos,frus1969-76v30_d3
19,Col. George Lt. Papadopoulos,frus1969-76v30_d3
20,Col. George Lt. Papadopoulos,frus1969-76v30_d3
21,Col. George Lt. Papadopoulos,frus1969-76v30_d3
22,Henry Tasca,frus1969-76v30_d3
23,Col. George Lt. Papadopoulos,frus1969-76v30_d3
24,Kenneth Rush,frus1969-76v30_d3
25,Col. George Lt. Papadopoulos,frus1969-76v30_d3
26,Col. George Lt. Papadopoulos,frus1969-76v30_d3
27,Col. George Lt. Papadopoulos,frus1969-76v30_d3
28,Col. George Lt. Papadopoulos,frus1969-76v30_d3
29,Col. George Lt. Papadopoulos,frus1969-76v30_d3
30,Col. George Lt. Papadopoulos,frus1969-76v30_d3
31,M. Nixon Richard,frus1969-76v30_d3
32,Col. George Lt. Papadopoulos,frus1969-76v30_d3
33,Col. George Lt. Papadopoulos,frus1969-76v30_d3
34,Col. George Lt. Papadopoulos,frus1969-76v30_d3
35,James Schlesinger,frus1969-76v30_d4
36,Col. George Lt. Papadopoulos,frus1969-76v30_d5
37,Col. George Lt. Papadopoulos,frus1969-76v30_d5
38,Col. George Lt. Papadopoulos,frus1969-76v30_d5
39,Col. George Lt. Papadopoulos,frus1969-76v30_d5
40,Col. George Lt. Papadopoulos,frus1969-76v30_d5
41,Col. George Lt. Papadopoulos,frus1969-76v30_d5
42,Col. George Lt. Papadopoulos,frus1969-76v30_d5
43,Col. George Lt. Papadopoulos,frus1969-76v30_d5
44,Col. George Lt. Papadopoulos,frus1969-76v30_d5
