,person_name,sent
0,A. Henry Kissinger,frus1969-76v30_d1
1,Henry Tasca,frus1969-76v30_d2
2,Kenneth Rush,frus1969-76v30_d3
3,Kenneth Rush,frus1969-76v30_d3
4,Henry Tasca,frus1969-76v30_d7
5,Henry Tasca,frus1969-76v30_d8
6,Henry Tasca,frus1969-76v30_d9
7,Lord Winston,frus1969-76v30_d10
8,Henry Tasca,frus1969-76v30_d11
9,Henry Tasca,frus1969-76v30_d14
10,Donald H. Rumsfeld,frus1969-76v30_d16
11,Henry Tasca,frus1969-76v30_d18
12,Henry Tasca,frus1969-76v30_d20
13,Henry Tasca,frus1969-76v30_d21
14,Ingersoll Robert S.,frus1969-76v30_d23
15,Donald H. Rumsfeld,frus1969-76v30_d24
16,Donald H. Rumsfeld,frus1969-76v30_d25
17,B. Jack Kubisch,frus1969-76v30_d27
18,B. Jack Kubisch,frus1969-76v30_d29
19,B. Jack Kubisch,frus1969-76v30_d30
20,A. Clift Denis,frus1969-76v30_d31
21,A. Henry Kissinger,frus1969-76v30_d33
22,Ingersoll Robert S.,frus1969-76v30_d35
23,A. Henry Kissinger,frus1969-76v30_d36
24,Brent C. Scowcroft,frus1969-76v30_d37
25,Ingersoll Robert S.,frus1969-76v30_d38
26,A. Clift Denis,frus1969-76v30_d39
27,A. Clift Denis,frus1969-76v30_d41
28,Colby E. William,frus1969-76v30_d42
29,Colby E. William,frus1969-76v30_d42
30,A. Henry Kissinger,frus1969-76v30_d43
31,A. Clift Denis,frus1969-76v30_d44
32,A. Henry Kissinger,frus1969-76v30_d45
33,A. Henry Kissinger,frus1969-76v30_d46
34,A. Henry Kissinger,frus1969-76v30_d47
35,Ingersoll Robert S.,frus1969-76v30_d48
36,B. Jack Kubisch,frus1969-76v30_d52
37,A. Henry Kissinger,frus1969-76v30_d53
38,B. Jack Kubisch,frus1969-76v30_d57
39,B. Jack Kubisch,frus1969-76v30_d59
40,A. Clift Denis,frus1969-76v30_d60
41,B. Jack Kubisch,frus1969-76v30_d61
42,Brent C. Scowcroft,frus1969-76v30_d63
43,Brent C. Scowcroft,frus1969-76v30_d65
44,Brent C. Scowcroft,frus1969-76v30_d66
45,Brent C. Scowcroft,frus1969-76v30_d68
46,A. Clift Denis,frus1969-76v30_d70
47,A. Clift Denis,frus1969-76v30_d71
48,B. Macomber William,frus1969-76v30_d76
49,J. Joseph Sisco,frus1969-76v30_d77
50,Davies P. Rodger,frus1969-76v30_d78
51,Niehuss Rosemary,frus1969-76v30_d79
52,Henry Tasca,frus1969-76v30_d81
53,A. Henry Kissinger,frus1969-76v30_d82
54,A. Henry Kissinger,frus1969-76v30_d83
55,A. Henry Kissinger,frus1969-76v30_d84
56,A. Henry Kissinger,frus1969-76v30_d87
57,Henry Tasca,frus1969-76v30_d88
58,Henry Tasca,frus1969-76v30_d89
59,B. Macomber William,frus1969-76v30_d90
60,A. Henry Kissinger,frus1969-76v30_d92
61,M. Nixon Richard,frus1969-76v30_d93
62,Ingersoll Robert S.,frus1969-76v30_d97
63,J. Joseph Sisco,frus1969-76v30_d99
64,A. Henry Kissinger,frus1969-76v30_d100
65,A. Henry Kissinger,frus1969-76v30_d101
66,A. Henry Kissinger,frus1969-76v30_d102
67,M. Nixon Richard,frus1969-76v30_d103
68,A. Henry Kissinger,frus1969-76v30_d106
69,A. Henry Kissinger,frus1969-76v30_d107
70,M. Nixon Richard,frus1969-76v30_d108
71,A. Henry Kissinger,frus1969-76v30_d111
72,Arthur Hartman,frus1969-76v30_d112
73,A. Henry Kissinger,frus1969-76v30_d114
74,B. Macomber William,frus1969-76v30_d116
75,A. Henry Kissinger,frus1969-76v30_d117
76,Arthur Hartman,frus1969-76v30_d118
77,Davies P. Rodger,frus1969-76v30_d120
78,Colby E. William,frus1969-76v30_d123
79,Ford Gerald R.,frus1969-76v30_d127
80,A. Henry Kissinger,frus1969-76v30_d134
81,A. Henry Kissinger,frus1969-76v30_d135
82,A. Henry Kissinger,frus1969-76v30_d138
83,A. Henry Kissinger,frus1969-76v30_d139
84,A. Henry Kissinger,frus1969-76v30_d140
85,A. Henry Kissinger,frus1969-76v30_d141
86,Bulent Ecevit,frus1969-76v30_d141
87,G. Hyland William,frus1969-76v30_d143
88,A. Henry Kissinger,frus1969-76v30_d144
89,Brown George S.,frus1969-76v30_d145
90,Henry Tasca,frus1969-76v30_d147
91,G. Hyland William,frus1969-76v30_d148
92,Henry Tasca,frus1969-76v30_d149
93,Henry Tasca,frus1969-76v30_d150
94,Crawford R. William,frus1969-76v30_d151
95,A. Henry Kissinger,frus1969-76v30_d152
96,Crawford R. William,frus1969-76v30_d155
97,Crawford R. William,frus1969-76v30_d158
98,Crawford R. William,frus1969-76v30_d161
99,Brent C. Scowcroft,frus1969-76v30_d164
