,person_name,received
0,M. Nixon Richard,frus1969-76v30_d1
1,M. Nixon Richard,frus1969-76v30_d3
2,James Schlesinger,frus1969-76v30_d4
3,A. Henry Kissinger,frus1969-76v30_d10
4,Brent C. Scowcroft,frus1969-76v30_d31
5,A. Henry Kissinger,frus1969-76v30_d32
6,A. Henry Kissinger,frus1969-76v30_d35
7,Ford Gerald R.,frus1969-76v30_d36
8,A. Henry Kissinger,frus1969-76v30_d37
9,A. Henry Kissinger,frus1969-76v30_d39
10,A. Henry Kissinger,frus1969-76v30_d41
11,A. Henry Kissinger,frus1969-76v30_d42
12,A. Henry Kissinger,frus1969-76v30_d44
13,Ford Gerald R.,frus1969-76v30_d46
14,Ford Gerald R.,frus1969-76v30_d47
15,Brent C. Scowcroft,frus1969-76v30_d60
16,Brent C. Scowcroft,frus1969-76v30_d61
17,Ford Gerald R.,frus1969-76v30_d63
18,Ford Gerald R.,frus1969-76v30_d65
19,Ford Gerald R.,frus1969-76v30_d66
20,Ford Gerald R.,frus1969-76v30_d68
21,Brent C. Scowcroft,frus1969-76v30_d70
22,Brent C. Scowcroft,frus1969-76v30_d71
23,A. Henry Kissinger,frus1969-76v30_d79
24,Anatoly Dobrynin F.,frus1969-76v30_d83
25,Anatoly Dobrynin F.,frus1969-76v30_d84
26,Kurt Waldheim,frus1969-76v30_d87
27,Callaghan James,frus1969-76v30_d92
28,A. Henry Kissinger,frus1969-76v30_d93
29,Colby E. William,frus1969-76v30_d102
30,A. Henry Kissinger,frus1969-76v30_d103
31,Ingersoll Robert S.,frus1969-76v30_d106
32,Ingersoll Robert S.,frus1969-76v30_d107
33,Buffum William,frus1969-76v30_d107
34,A. Henry Kissinger,frus1969-76v30_d108
35,Bulent Ecevit,frus1969-76v30_d111
36,A. Henry Kissinger,frus1969-76v30_d112
37,Callaghan James,frus1969-76v30_d114
38,A. Henry Kissinger,frus1969-76v30_d118
39,Alexander Brig. Gen. Haig Jr. M.,frus1969-76v30_d121
40,A. Henry Kissinger,frus1969-76v30_d122
41,A. Henry Kissinger,frus1969-76v30_d123
42,A. Henry Kissinger,frus1969-76v30_d127
43,Bulent Ecevit,frus1969-76v30_d134
44,Constantine Karamanlis,frus1969-76v30_d135
45,Clerides Glaufkos,frus1969-76v30_d139
46,Bulent Ecevit,frus1969-76v30_d140
47,A. Henry Kissinger,frus1969-76v30_d143
48,Callaghan James,frus1969-76v30_d144
49,A. Henry Kissinger,frus1969-76v30_d148
50,Ford Gerald R.,frus1969-76v30_d164
51,Ford Gerald R.,frus1969-76v30_d167
52,Esenbel Melih,frus1969-76v30_d168
53,Ford Gerald R.,frus1969-76v30_d169
54,Ford Gerald R.,frus1969-76v30_d176
55,Ford Gerald R.,frus1969-76v30_d179
56,Brent C. Scowcroft,frus1969-76v30_d189
57,A. Henry Kissinger,frus1969-76v30_d194
58,James Schlesinger,frus1969-76v30_d195
59,J. Joseph Sisco,frus1969-76v30_d197
60,A. Henry Kissinger,frus1969-76v30_d199
61,Brent C. Scowcroft,frus1969-76v30_d202
62,Brent C. Scowcroft,frus1969-76v30_d205
63,Ford Gerald R.,frus1969-76v30_d208
64,Brent C. Scowcroft,frus1969-76v30_d212
65,A. Henry Kissinger,frus1969-76v30_d213
66,Alexander Brig. Gen. Haig Jr. M.,frus1969-76v30_d214
67,A. Henry Kissinger,frus1969-76v30_d216
68,Ford Gerald R.,frus1969-76v30_d218
69,Ford Gerald R.,frus1969-76v30_d219
70,Ford Gerald R.,frus1969-76v30_d220
71,A. Henry Kissinger,frus1969-76v30_d222
72,Ford Gerald R.,frus1969-76v30_d225
73,Ford Gerald R.,frus1969-76v30_d226
74,A. Henry Kissinger,frus1969-76v30_d235
