,year
0,1861
1,1862
2,1863
3,1864
4,1865
5,1866
6,1867
7,1868
8,1869
9,1870
10,1871
11,1872
12,1873
13,1874
14,1875
15,1876
16,1877
17,1878
18,1879
19,1880
20,1881
21,1882
22,1883
23,1884
24,1885
25,1886
26,1887
27,1888
28,1889
29,1890
30,1891
31,1892
32,1893
33,1894
34,1895
35,1896
36,1897
37,1898
38,1899
39,1900
40,1901
41,1902
42,1903
43,1904
44,1905
45,1906
46,1907
47,1908
48,1909
49,1910
50,1911
51,1912
52,1913
53,1914
54,1915
55,1916
56,1917
57,1918
58,1919
59,1920
60,1921
61,1922
62,1923
63,1924
64,1925
65,1926
66,1927
67,1928
68,1929
69,1930
70,1931
71,1932
72,1933
73,1934
74,1935
75,1936
76,1937
77,1938
78,1939
79,1940
80,1941
81,1942
82,1943
83,1944
84,1945
85,1946
86,1947
87,1948
88,1949
89,1950
90,1951
91,1952
92,1953
93,1954
94,1955
95,1956
96,1957
97,1958
98,1959
99,1960
100,1961
101,1962
102,1963
103,1964
104,1965
105,1966
106,1967
107,1968
108,1969
109,1970
110,1971
111,1972
112,1973
113,1974
114,1975
115,1976
116,1977
117,1978
118,1979
119,1980
120,1981
